,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,log10_pvalue
SUMO2,0.7284,0.27159999999999995,0.986519929078782,0.0023079736,0.0017662436,0.0,0.25,0.39145175,0.40268993,0.33601347,-1.6710815,1.7318087,1.6233463,4.7641025,0.7766536964980545,0.9641025641025641,22.849676,18.300611,False,NK cell vs cDC,NK cell,cDC,0.566070234391536
EEF1A1,0.7278,0.2722,0.98348917196304,0.046939373,0.039492186,0.0,0.25,0.18157363,0.22209024,0.62036794,-1.9951248,2.2897775,35.90117,103.73333,1.0,1.0,505.58615,387.87372,False,NK cell vs cDC,NK cell,cDC,0.5651118791326841
NKAP,0.7274,0.27259999999999995,0.9814709903542657,0.00018115547,0.0001387287,0.0,0.25,0.36535352,0.36099768,0.6103732,-2.0537844,2.985732,0.11906615,0.3948718,0.10739299610894941,0.3333333333333333,1.7695987,1.5066209,False,NK cell vs cDC,NK cell,cDC,0.5644741485013454
PDHA1,0.7238,0.2762,0.9633898477647742,0.00013602259,0.00012884417,0.0,0.25,0.032987807,0.027612686,0.7325683,-2.388811,2.9591703,0.09727626,0.42051283,0.09027237354085603,0.3435897435897436,1.3437093,1.4600306,False,NK cell vs cDC,NK cell,cDC,0.5587763257573876
TMEM70,0.723,0.277,0.9593916937016024,0.0001255735,0.00013652901,0.0,0.25,-0.16224857,-0.14379978,0.7061112,-3.3137922,2.613267,0.07859922,0.36923078,0.0754863813229572,0.2923076923076923,1.0147662,1.2993106,False,NK cell vs cDC,NK cell,cDC,0.5575202309355514
POLDIP2,0.7226,0.2774,0.9573952886226977,0.00019523558,0.0001429896,0.0,0.25,0.41796523,0.41689396,0.49356842,-1.6590223,2.437314,0.12684825,0.4,0.12062256809338522,0.3282051282051282,1.7992351,1.4530094,False,NK cell vs cDC,NK cell,cDC,0.556893543262734
MAPK14,0.7226,0.2774,0.9573952886226977,0.00013046346,0.0001548804,0.0,0.25,-0.28544754,-0.26949453,0.69267964,-2.9242487,2.4881325,0.08793774,0.3897436,0.08249027237354085,0.29743589743589743,1.3103659,1.5652376,False,NK cell vs cDC,NK cell,cDC,0.556893543262734
SMIM12,0.722,0.278,0.9544040030813821,0.00021240168,0.00015497686,0.0,0.25,0.4197589,0.40552664,0.58935183,-1.8097973,2.7222939,0.13540857,0.43589744,0.12840466926070038,0.36923076923076925,1.9309992,1.5887045,False,NK cell vs cDC,NK cell,cDC,0.5559552040819237
TBC1D22A,0.7208,0.2792,0.9484333134627664,0.00014411594,0.00011388104,0.0,0.25,0.29378942,0.28693056,0.6537684,-2.5701942,3.396061,0.083268486,0.34871796,0.08015564202334631,0.26666666666666666,1.277728,1.2243497,False,NK cell vs cDC,NK cell,cDC,0.5540845860488766
EFR3A,0.7204,0.27959999999999996,0.9464465810579447,0.00014419109,0.000121212266,0.0,0.25,0.20009236,0.20683241,0.6886015,-2.5617514,2.9990368,0.090272374,0.3025641,0.08638132295719844,0.24102564102564103,1.2318201,1.0981134,False,NK cell vs cDC,NK cell,cDC,0.5534628329263562
