"","DZQV_mDC_rep4","925L_mDC_rep2","9JD4_mDC_rep1","G4YW_mDC_rep3","DZQV_NK_rep4","925L_NK_rep2","9JD4_NK_rep1","G4YW_NK_rep3"
"IGF2BP2",7.84079105782493,7.77735118106125,7.56500530399881,8.07291067104559,6.59596291239516,4.89145765671628,3.83823922009339,1.63524134268061
"IGF2BP2-AS1",3.99727531181976,1.36872853511743,2.61171909514793,3.38987403301937,1.07019586045128,1.77318755508578,1.04644453486963,0.996801585172315
"TRA2B",11.9857769741179,11.985647074934,11.9685719868331,11.5249405198124,11.1784578388652,11.7045277058149,11.6128982173888,11.3466001115961
"ETV5",6.62639434686907,5.82158672746655,6.4625351615372,5.23549217481477,1.42253186460924,3.09958049704692,1.34788818181533,1.18224113067617
"ETV5-AS1",-1.22978623245681,-1.42815878197057,-1.43180174753742,-1.42241775657495,-1.4190103766874,-1.33399763371042,-1.42409732718202,-1.43532656996686
"DGKG",7.62071092171955,7.69287979224374,7.19476610240431,7.40648504541899,1.66636333068365,1.41438892944159,4.37180838397398,3.19743169409731
"LINC02020",0,0,0,0,0,0,0,0
"LINC02052",0,0,0,0,0,0,0,0
"LINC02051",0,0,0,0,0,0,0,0
"CRYGS",4.18039920937895,4.29078498243509,4.60191550880152,5.47532240220264,4.98962704034854,5.14835065115504,4.8431859726941,5.51236547509673
"TBCCD1",8.50126776460314,7.93552979850816,8.85924821914673,8.67561736072569,9.09578370987258,9.24023530801201,9.44549030097831,8.64406173261404
"DNAJB11",10.6207188067383,10.2437051770731,10.2624260681863,10.2580314296982,10.398215545588,10.000312871024,10.3301157689661,10.1574664255528
"AC068631.1",0.744110621970976,0.581059724356394,0.579118000635787,0.584353821411752,1.17065461150025,1.06281933578257,1.12967081936322,1.04556086721727
"AHSG",0,0,0,0,0,0,0,0
"FETUB",0,0,0,0,0,0,0,0
"HRG",0,0,0,0,0,0,0,0
"KNG1",-2.11575932202168,-2.11592377412541,-2.11707245143874,-2.11411354959647,-2.11303915569872,-2.11742603980082,-2.11464314138565,-2.08699130151776
